area,things,location,size,ciy_part,non_city_part,non_city_sub,date,items,tranf,height,tpye,usage,material,compele_year,tranf_area,house,hall,toilet,part_house,org,total_price,price_per_m,car_tpye,car_area,car_price
永康區,房地(土地+建物),臺南市永康區勝利里中華一路182巷2弄1~30號,168.8,住,,,10303,土地2建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0770322,215.3,3,2,2,有,無,10500000,48769,,0.0,0
永康區,房地(土地+建物),臺南市永康區龍安街1~30號,105.0,住,,,10302,土地2建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0910522,189.09,5,2,3,有,無,3300000,17452,,0.0,0
永康區,房地(土地+建物),臺南市永康區成功路172巷43弄1~30號,97.04,住,,,10303,土地1建物1車位0,全,002,透天厝,住家用,鋼筋混凝土造,0690322,96.3,4,2,3,有,無,4250000,44133,,0.0,0
永康區,土地,蔦松段541~570地號,2022.0,工,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,39000000,19288,,0.0,0
永康區,房地(土地+建物)+車位,臺南市永康區永安二街1~30號,27.26,住,,,10303,土地1建物1車位1,一層,007,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830122,151.63,3,2,2,有,有,3600000,23742,坡道平面,0.0,0
玉井區,土地,口宵里段451~480地號,1671.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,1017,,0.0,0
玉井區,土地,口宵里段451~480地號,1671.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,1017,,0.0,0
玉井區,土地,口宵里段451~480地號,1671.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,1017,,0.0,0
玉井區,土地,口宵里段451~480地號,1671.0,,一般農業區,農牧用地,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1700000,1017,,0.0,0
仁德區,房地(土地+建物),臺南市仁德區大甲里中正西路360巷20弄31~60號,5.02,住,,,10303,土地2建物1車位0,三層,004,套房(1房1廳1衛),見其他登記事項,鋼筋混凝土造,0960920,14.149999999999999,1,1,1,有,有,610000,43110,,0.0,0
仁德區,房地(土地+建物),臺南市仁德區後壁里中正路二段211~240號,187.74,住,,,10303,土地2建物1車位0,全,004,透天厝,住商用,鋼筋混凝土造,0790823,323.4,10,4,8,有,無,19560000,60482,,0.0,0
歸仁區,土地,八甲西段661~690地號,4.04,住,,,10303,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,82000,20297,,0.0,0
仁德區,土地,神農段361~390地號,131.71,住,,,10300,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4266087,32390,,0.0,0
善化區,房地(土地+建物),臺南市新化區民生路170巷1~30號,52.08,住,,,10304,土地2建物1車位0,全,002,透天厝,住家用,加強磚造,0680524,46.8,4,1,3,有,無,1351899,28887,,0.0,0
新化區,房地(土地+建物),臺南市新化區豐榮里正新南路181~210號,79.22,住,,,10303,土地1建物1車位0,全,003,透天厝,住商用,鋼筋混凝土造,0870224,184.88,4,2,3,有,無,6000000,32453,,0.0,0
新市區,土地,信義段451~480地號,195.48,其他,,,10304,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5000000,25578,,0.0,0
新市區,房地(土地+建物),臺南市新巿區大營151~180號,101.0,,鄉村區,乙種建築用地,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,0790423,156.28,6,3,2,有,無,3200000,20476,,0.0,0
善化區,土地,大同段301~330地號,4157.64,,特定農業區,農牧用地,10303,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,12000000,2886,,0.0,0
善化區,房地(土地+建物),臺南市善化區小新營211~240號,92.92,住,,,10303,土地2建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1000120,154.17,3,2,2,有,無,6000000,38918,,0.0,0
安南區,房地(土地+建物),臺南市安南區淵東里本原街三段234巷106弄91~120號,90.74,住,,,10303,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1030109,154.74,4,2,3,有,無,6300000,40713,,0.0,0
安南區,土地,天馬段1081~1110地號,2389.82,農,,,10304,土地22建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6912000,2892,,0.0,0
安南區,房地(土地+建物),臺南市安南區府安路六段62巷31~60號,93.36,住,,,10303,土地2建物1車位0,全,004,透天厝,見其他登記事項,鋼筋混凝土造,1021007,182.34,4,2,3,有,無,6743000,36980,,0.0,0
安南區,房地(土地+建物),臺南市安南區安中路二段138巷17弄1~30號,103.13,住,,,10304,土地1建物1車位0,全,003,透天厝,住家用,鋼筋混凝土造,1020819,173.33,4,2,3,有,無,9400000,54232,,0.0,0
安南區,土地,城東段301~330地號,171.74,住,,,10304,土地3建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3012520,17541,,0.0,0
